scenario,role,route,control type,label,destination,disabled,evidence
public-artist-sign-up,public,/signup?role=artist,A,tattoi,/dashboard,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-artist-sign-up,public,/signup?role=artist,A,For artists,/signup?role=artist,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-artist-sign-up,public,/signup?role=artist,A,Client,/signup?role=client,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-artist-sign-up,public,/signup?role=artist,A,Artist,/signup?role=artist,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-artist-sign-up,public,/signup?role=artist,A,Supplier,/signup?role=supplier,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-artist-sign-up,public,/signup?role=artist,INPUT,Full name,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-artist-sign-up,public,/signup?role=artist,email,Email address,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-artist-sign-up,public,/signup?role=artist,password,Create password,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-artist-sign-up,public,/signup?role=artist,button,Show password,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-artist-sign-up,public,/signup?role=artist,submit,Create account,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-artist-sign-up,public,/signup?role=artist,A,Sign in,/login,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-client-sign-up,public,/signup,A,tattoi,/dashboard,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-client-sign-up,public,/signup,A,For artists,/signup?role=artist,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-client-sign-up,public,/signup,A,Client,/signup?role=client,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-client-sign-up,public,/signup,A,Artist,/signup?role=artist,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-client-sign-up,public,/signup,A,Supplier,/signup?role=supplier,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-client-sign-up,public,/signup,INPUT,Full name,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-client-sign-up,public,/signup,email,Email address,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-client-sign-up,public,/signup,password,Create password,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-client-sign-up,public,/signup,button,Show password,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-client-sign-up,public,/signup,submit,Create account,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-client-sign-up,public,/signup,A,Sign in,/login,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-sign-in,public,/login,A,tattoi,/dashboard,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-sign-in,public,/login,A,For artists,/signup?role=artist,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-sign-in,public,/login,email,Email address,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-sign-in,public,/login,password,Password,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-sign-in,public,/login,button,Show password,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-sign-in,public,/login,A,Forgot password?,/forgot-password,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-sign-in,public,/login,checkbox,Keep me signed in,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-sign-in,public,/login,submit,Sign in,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-sign-in,public,/login,A,Create an account,/signup,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-supplier-sign-up,public,/signup?role=merchant,A,tattoi,/dashboard,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-supplier-sign-up,public,/signup?role=merchant,A,For artists,/signup?role=artist,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-supplier-sign-up,public,/signup?role=merchant,A,Client,/signup?role=client,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-supplier-sign-up,public,/signup?role=merchant,A,Artist,/signup?role=artist,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-supplier-sign-up,public,/signup?role=merchant,A,Supplier,/signup?role=supplier,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-supplier-sign-up,public,/signup?role=merchant,INPUT,Full name,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-supplier-sign-up,public,/signup?role=merchant,email,Email address,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-supplier-sign-up,public,/signup?role=merchant,INPUT,Business name,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-supplier-sign-up,public,/signup?role=merchant,SELECT,Business country,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-supplier-sign-up,public,/signup?role=merchant,password,Create password,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-supplier-sign-up,public,/signup?role=merchant,button,Show password,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-supplier-sign-up,public,/signup?role=merchant,submit,Create account,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-supplier-sign-up,public,/signup?role=merchant,A,Sign in,/login,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-password-recovery,public,/forgot-password,A,tattoi,/dashboard,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-password-recovery,public,/forgot-password,A,For artists,/signup?role=artist,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-password-recovery,public,/forgot-password,email,Email address,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-password-recovery,public,/forgot-password,submit,Send reset link,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-password-recovery,public,/forgot-password,A,Back to sign in,/login,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-set-password,public,/set-password?token=preview,A,tattoi,/dashboard,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-set-password,public,/set-password?token=preview,A,For artists,/signup?role=artist,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-set-password,public,/set-password?token=preview,password,New password,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-set-password,public,/set-password?token=preview,button,Show password,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-set-password,public,/set-password?token=preview,submit,Save new password,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-set-password,public,/set-password?token=preview,A,Request a new link,/forgot-password,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-magic-link,public,/auth/magic?token=preview,A,tattoi,/dashboard,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-magic-link,public,/auth/magic?token=preview,A,For artists,/signup?role=artist,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-magic-link,public,/auth/magic?token=preview,button,Continue to my account,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-magic-link,public,/auth/magic?token=preview,A,Back to sign in,/login,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-public-artist,public,/ella-morgan,A,tattoi,/dashboard,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-public-artist,public,/ella-morgan,A,Sign in,/login,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-public-artist,public,/ella-morgan,A,Selected work by Ella Morgan,/__ivory_artwork.png,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-public-artist,public,/ella-morgan,button,Request a booking,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-public-artist,public,/ella-morgan,A,Shopfront,/shop/ella-morgan,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-public-artist,public,/ella-morgan,A,,/__ivory_artwork.png,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-public-studio,public,/studio/northside,A,tattoi,/dashboard,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-public-studio,public,/studio/northside,A,Sign in,/login,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-public-studio,public,/studio/northside,A,"EM
Ella Morgan
Fine-line botanicals. Thoughtfully made, just for you.",/start/ella-morgan,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-intake,public,/start/ella-morgan,TEXTAREA,What would you like tattooed?,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-intake,public,/start/ella-morgan,checkbox,Traditional,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-intake,public,/start/ella-morgan,checkbox,Neo-Traditional,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-intake,public,/start/ella-morgan,checkbox,Realism,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-intake,public,/start/ella-morgan,checkbox,Black & Grey,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-intake,public,/start/ella-morgan,checkbox,Japanese,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-intake,public,/start/ella-morgan,checkbox,Geometric,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-intake,public,/start/ella-morgan,checkbox,Watercolour,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-intake,public,/start/ella-morgan,checkbox,Minimalist,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-intake,public,/start/ella-morgan,checkbox,Dotwork,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-intake,public,/start/ella-morgan,checkbox,Tribal,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-intake,public,/start/ella-morgan,checkbox,Script/Lettering,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-intake,public,/start/ella-morgan,checkbox,Illustrative,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
public-booking-intake,public,/start/ella-morgan,checkbox,Surrealism,,False,Rendered in isolated fixture; see input/tab checks and focused outcomes
