scenario,role,path,context,label,element,href,disabled,checked,evidence
public-sign-in,public,/login,Welcome back,tattoi,A,/dashboard,False,,Rendered with isolated fixtures; not an individual click pass
public-sign-in,public,/login,Welcome back,For artists,A,/signup?role=artist,False,,Rendered with isolated fixtures; not an individual click pass
public-sign-in,public,/login,Welcome back,Show password,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
public-sign-in,public,/login,Welcome back,Forgot password?,A,/forgot-password,False,,Rendered with isolated fixtures; not an individual click pass
public-sign-in,public,/login,Welcome back,Keep me signed in,INPUT,,False,True,Rendered with isolated fixtures; not an individual click pass
public-sign-in,public,/login,Welcome back,Sign in,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
public-sign-in,public,/login,Welcome back,Create an account,A,/signup,False,,Rendered with isolated fixtures; not an individual click pass
public-artist-sign-up,public,/signup?role=artist,Make room for your craft,tattoi,A,/dashboard,False,,Rendered with isolated fixtures; not an individual click pass
public-artist-sign-up,public,/signup?role=artist,Make room for your craft,For artists,A,/signup?role=artist,False,,Rendered with isolated fixtures; not an individual click pass
public-artist-sign-up,public,/signup?role=artist,Make room for your craft,Client,A,/signup?role=client,False,,Rendered with isolated fixtures; not an individual click pass
public-artist-sign-up,public,/signup?role=artist,Make room for your craft,Artist,A,/signup?role=artist,False,,Rendered with isolated fixtures; not an individual click pass
public-artist-sign-up,public,/signup?role=artist,Make room for your craft,Supplier,A,/signup?role=supplier,False,,Rendered with isolated fixtures; not an individual click pass
public-artist-sign-up,public,/signup?role=artist,Make room for your craft,Show password,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
public-artist-sign-up,public,/signup?role=artist,Make room for your craft,Create account,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
public-artist-sign-up,public,/signup?role=artist,Make room for your craft,Sign in,A,/login,False,,Rendered with isolated fixtures; not an individual click pass
public-client-sign-up,public,/signup,"Your booking, together",tattoi,A,/dashboard,False,,Rendered with isolated fixtures; not an individual click pass
public-client-sign-up,public,/signup,"Your booking, together",For artists,A,/signup?role=artist,False,,Rendered with isolated fixtures; not an individual click pass
public-client-sign-up,public,/signup,"Your booking, together",Client,A,/signup?role=client,False,,Rendered with isolated fixtures; not an individual click pass
public-client-sign-up,public,/signup,"Your booking, together",Artist,A,/signup?role=artist,False,,Rendered with isolated fixtures; not an individual click pass
public-client-sign-up,public,/signup,"Your booking, together",Supplier,A,/signup?role=supplier,False,,Rendered with isolated fixtures; not an individual click pass
public-client-sign-up,public,/signup,"Your booking, together",Show password,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
public-client-sign-up,public,/signup,"Your booking, together",Create account,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
public-client-sign-up,public,/signup,"Your booking, together",Sign in,A,/login,False,,Rendered with isolated fixtures; not an individual click pass
public-supplier-sign-up,public,/signup?role=merchant,Supply the craft,tattoi,A,/dashboard,False,,Rendered with isolated fixtures; not an individual click pass
public-supplier-sign-up,public,/signup?role=merchant,Supply the craft,For artists,A,/signup?role=artist,False,,Rendered with isolated fixtures; not an individual click pass
public-supplier-sign-up,public,/signup?role=merchant,Supply the craft,Client,A,/signup?role=client,False,,Rendered with isolated fixtures; not an individual click pass
public-supplier-sign-up,public,/signup?role=merchant,Supply the craft,Artist,A,/signup?role=artist,False,,Rendered with isolated fixtures; not an individual click pass
public-supplier-sign-up,public,/signup?role=merchant,Supply the craft,Supplier,A,/signup?role=supplier,False,,Rendered with isolated fixtures; not an individual click pass
public-supplier-sign-up,public,/signup?role=merchant,Supply the craft,Business country,SELECT,,False,,Rendered with isolated fixtures; not an individual click pass
public-supplier-sign-up,public,/signup?role=merchant,Supply the craft,Show password,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
public-supplier-sign-up,public,/signup?role=merchant,Supply the craft,Create account,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
public-supplier-sign-up,public,/signup?role=merchant,Supply the craft,Sign in,A,/login,False,,Rendered with isolated fixtures; not an individual click pass
public-set-password,public,/set-password?token=preview,Choose a new password,tattoi,A,/dashboard,False,,Rendered with isolated fixtures; not an individual click pass
public-set-password,public,/set-password?token=preview,Choose a new password,For artists,A,/signup?role=artist,False,,Rendered with isolated fixtures; not an individual click pass
public-set-password,public,/set-password?token=preview,Choose a new password,Show password,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
public-set-password,public,/set-password?token=preview,Choose a new password,Save new password,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
public-set-password,public,/set-password?token=preview,Choose a new password,Request a new link,A,/forgot-password,False,,Rendered with isolated fixtures; not an individual click pass
public-password-recovery,public,/forgot-password,Let’s get you back in,tattoi,A,/dashboard,False,,Rendered with isolated fixtures; not an individual click pass
public-password-recovery,public,/forgot-password,Let’s get you back in,For artists,A,/signup?role=artist,False,,Rendered with isolated fixtures; not an individual click pass
public-password-recovery,public,/forgot-password,Let’s get you back in,Send reset link,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
public-password-recovery,public,/forgot-password,Let’s get you back in,Back to sign in,A,/login,False,,Rendered with isolated fixtures; not an individual click pass
public-magic-link,public,/auth/magic?token=preview,Your secure sign-in link,tattoi,A,/dashboard,False,,Rendered with isolated fixtures; not an individual click pass
public-magic-link,public,/auth/magic?token=preview,Your secure sign-in link,For artists,A,/signup?role=artist,False,,Rendered with isolated fixtures; not an individual click pass
public-magic-link,public,/auth/magic?token=preview,Your secure sign-in link,Continue to my account,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
public-magic-link,public,/auth/magic?token=preview,Your secure sign-in link,Back to sign in,A,/login,False,,Rendered with isolated fixtures; not an individual click pass
public-public-artist,public,/ella-morgan,Ella Morgan,tattoi,A,/dashboard,False,,Rendered with isolated fixtures; not an individual click pass
public-public-artist,public,/ella-morgan,Ella Morgan,Sign in,A,/login,False,,Rendered with isolated fixtures; not an individual click pass
public-public-artist,public,/ella-morgan,Ella Morgan,Selected work by Ella Morgan,A,/__ivory_artwork.png,False,,Rendered with isolated fixtures; not an individual click pass
public-public-artist,public,/ella-morgan,Ella Morgan,Request a booking,BUTTON,,False,,Rendered with isolated fixtures; not an individual click pass
public-public-artist,public,/ella-morgan,Selected work,,A,/__ivory_artwork.png,False,,Rendered with isolated fixtures; not an individual click pass
public-booking-intake,public,/start/ella-morgan,Your idea,Traditional,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-intake,public,/start/ella-morgan,Your idea,Neo-Traditional,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-intake,public,/start/ella-morgan,Your idea,Realism,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-intake,public,/start/ella-morgan,Your idea,Black & Grey,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-intake,public,/start/ella-morgan,Your idea,Japanese,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-intake,public,/start/ella-morgan,Your idea,Geometric,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-intake,public,/start/ella-morgan,Your idea,Watercolour,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-intake,public,/start/ella-morgan,Your idea,Minimalist,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
public-booking-intake,public,/start/ella-morgan,Your idea,Dotwork,INPUT,,False,False,Rendered with isolated fixtures; not an individual click pass
