source,line,component,element,label or label expression,handler or destination,evidence classification
client/src/app-v3/design/CalendarTimeline.tsx,233,CalendarTimeline,button,"{expanded ? ""Compact agenda"" : ""Expand agenda""}","{""onClick"": ""{() => setExpanded(!expanded)}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/CalendarTimeline.tsx,292,CalendarTimeline,button,"{`Book on ${format(day, ""d MMMM yyyy"")}`}","{""onClick"": ""{() => onBook(day)}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/CalendarTimeline.tsx,306,CalendarTimeline,button,"{bookingTime(event.startTime, zone)} {bookingTime(event.endTime, zone)} {event.client?.name || event.clientName || event.title} {event.title} {expanded && ( {statusLabel(event.status)} · View booking, forms & payments )}","{""onClick"": ""{() => onSelect(event)}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/ClientNotes.tsx,56,ClientNotes,Action,"{add.isPending ? ""Saving…"" : ""Save note""}","{""formSubmit"": ""{e => { e.preventDefault(); if (draft.trim() && !add.isPending) add.mutate({ clientId, note: draft.trim() }); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/ConversationContext.tsx,43,ConversationContext,ActionLink,Forms & payments,"{""href"": ""{`/projects/${id}?session=${session.id}`}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/ConversationContext.tsx,66,ConversationContext,a,(dynamic/unlabelled),"{""href"": ""{url}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/DesignBrief.tsx,25,DesignBrief,button,"Design brief {open ? ""⌃"" : ""⌄""}","{""onClick"": ""{() => { setOpen(!open); try { localStorage.setItem( `brief-collapsed-${conversationId}`, String(open) ); } catch {} }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/DesignBrief.tsx,40,DesignBrief,Action,"""Refresh design brief""","{""onClick"": ""{() => refresh.mutate({ conversationId })}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/HomeTabs.tsx,11,HomeTabs,Link,{title},"{""href"": ""{href}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/Navigation.tsx,52,Navigation,Link,{content},"{""href"": ""{item.path}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/Navigation.tsx,61,Navigation,button,{content},"{""onClick"": ""{item.action}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/SignatureCapture.tsx,83,SignatureCapture,Action,Clear signature,"{""onClick"": ""{() => { strokes.current = []; setInk(false); paint(); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/SignatureCapture.tsx,94,SignatureCapture,Action,Sign this form,"{""onClick"": ""{() => { if (canvas.current) onSave(canvas.current.toDataURL(\""image/png\"")); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/WeekAgenda.tsx,28,WeekAgenda,button,"{format(date, ""EEEE, d MMMM yyyy"")}","{""onClick"": ""{() => { setSelected(date); setWholeWeek(false); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/WeekAgenda.tsx,63,WeekAgenda,Row,{s.client?.name || s.clientName || s.title},"{""href"": ""{ s.conversationId ? `/projects/${s.conversationId}?session=${s.id}` : `/calendar?appointment=${s.id}&date=${encodeURIComponent(s.startTime)}` }""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/WeekAgenda.tsx,81,WeekAgenda,Action,"{wholeWeek ? ""Show selected day"" : ""Expand full week""}","{""onClick"": ""{() => setWholeWeek(!wholeWeek)}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/WeekAgenda.tsx,88,WeekAgenda,ActionLink,Open calendar,"{""href"": ""{`/calendar?date=${format(selected, \""yyyy-MM-dd\"")}`}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/primitives.tsx,50,Screen,Link,"""Back""","{""href"": ""{back}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/primitives.tsx,54,Screen,Link,tattoi,"{""href"": ""{user?.role === \""client\"" ? \""/bookings\"" : \""/dashboard\""}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/primitives.tsx,62,Screen,Link,"{ user?.role === ""client"" ? ""Your profile"" : user?.role === ""merchant"" ? ""Store settings"" : ""Your business"" }","{""href"": ""{ user?.role === \""client\"" ? \""/profile\"" : user?.role === \""merchant\"" ? \""/settings\"" : \""/business\"" }""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/primitives.tsx,123,Action,button,(dynamic/unlabelled),{},Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/primitives.tsx,140,ActionLink,Link,{children},"{""href"": ""{href}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/primitives.tsx,234,Row,Link,{content},"{""href"": ""{href}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/primitives.tsx,238,Row,button,{content},"{""onClick"": ""{onClick}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/primitives.tsx,288,Tabs,button,{item},"{""onClick"": ""{() => onChange(item)}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/design/primitives.tsx,346,Feedback,Action,Try again,"{""onClick"": ""{onRetry}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/AccountControls.tsx,61,AccountRemoval,Action,"{remove.isPending ? ""Deleting…"" : ""Permanently delete account""}","{""formSubmit"": ""{e => { e.preventDefault(); if (confirm === \""DELETE\"" && !remove.isPending) remove.mutate(); }}""}",Static inventory; rendering and end-to-end outcome not guaranteed
client/src/app-v3/pages/AccountControls.tsx,118,Consultations,Row,{item.subject},"{""onClick"": ""{() => setSelected(item.id)}""}",Static inventory; rendering and end-to-end outcome not guaranteed
